name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,lat,lng
Whirlwind,Steel,Spinning,,,,0.0,Maurer,Camelot Theme Park,status.closed.definitely,53.63522680000001,-2.6989014
Knightmare,Steel,Sit Down,70.0,27.0,786.0,0.0,Schwarzkopf,Camelot Theme Park,status.closed.definitely,53.63522680000001,-2.6989014
Exterminator,Steel,Sit Down,47.0,13.0,420.0,0.0,Reverchon,Kennywood,status.operating,40.3865953,-79.8617888
Jack Rabbit,Steel,Sit Down,72.0,21.0,650.0,0.0,ACE Coaster Classic,Kennywood,status.operating,40.3865953,-79.8617888
Lil' Phantom,Steel,Sit Down,,,,0.0,na,Kennywood,status.operating,40.3865953,-79.8617888
Phantom's Revenge,Steel,Sit Down,132.0,70.0,975.0,0.0,Arrow,Kennywood,status.operating,40.3865953,-79.8617888
Racer (Right),Wooden,Sit Down,,22.0,686.0,0.0,John Miller,Kennywood,status.operating,40.3865953,-79.8617888
Thunderbolt,Steel,Sit Down,89.0,29.0,880.0,0.0,ACE Coaster Classic,Kennywood,status.operating,40.3865953,-79.8617888
Sky Rocket,Steel,Sit Down,80.0,29.0,640.0,3.0,Premier Rides,Kennywood,status.operating,40.3865953,-79.8617888
Steel Curtain,Steel,Sit Down,120.0,67.0,1220.0,9.0,S&S,Kennywood,status.operating,40.3865953,-79.8617888
Racer (Left),Wooden,Sit Down,,22.0,686.0,0.0,John Miller,Kennywood,status.operating,40.3865953,-79.8617888
Corsaire,Steel,Sit Down,40.0,10.0,300.0,0.0,Soquet,Cobac Parc,status.operating,48.4376555,-1.8331534
Cobra,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,PowerPark,status.operating,63.2287414,22.8575992
Joyride,Steel,Sit Down,,16.0,280.0,0.0,L&T Systems,PowerPark,status.operating,63.2287414,22.8575992
Thunderbird,Wooden,Sit Down,75.0,27.0,850.0,0.0,GCI,PowerPark,status.operating,63.2287414,22.8575992
Mine Train,Steel,Sit Down,,,,0.0,Zamperla,PowerPark,status.operating,63.2287414,22.8575992
Junker,na,Sit Down,104.0,40.0,860.0,3.0,Gerstlauer,PowerPark,status.operating,63.2287414,22.8575992
Neo's Twister,na,Spinning,,10.0,420.0,0.0,Fabbri,PowerPark,status.operating,63.2287414,22.8575992
Stinger,Steel,Sit Down,32.0,6.0,199.0,0.0,Zierer,Paultons Park,status.closed.definitely,50.9482969,-1.5519135
Flying Frog,Steel,Sit Down,,,,0.0,Zierer,Paultons Park,status.closed.definitely,50.9482969,-1.5519135
Cobra,Steel,Sit Down,50.0,17.0,450.0,0.0,Gerstlauer,Paultons Park,status.operating,50.9482969,-1.5519135
